                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260107"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                num_zones                                 star_age                            time_step_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                                    log_L                                    log_R                                radius_cm                                 log_R_cm                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             max_tau_conv                              num_retries                                num_iters 
                                       1                                      891                  5.0000000000000004E-006                  1.5778800000000001E+002                 -5.3010299956639804E+000                  1.1154486247277873E+000                  3.3345955482729480E+001                 -7.9999999999999991E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999352296E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224807999492E-001                  8.7444817277301234E-008                  9.7933007934806349E-001                  9.7835361620661720E-001                 -2.5973087375882017E+001                 -2.6742016776966619E+001                 -1.4353023701760767E+001                 -1.4353023701759549E+001                 -2.5973378776394512E+001                 -2.9146527068052364E+001                 -2.6742016776966619E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277873E+000                  1.1154421505898449E+000                  1.0422561901036291E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3638924448370957E+012                  1.7285381496495324E+004                  4.2376789690675736E+000                 -2.4767968622805530E+000                 -2.1911032084109268E+000                  4.4804206989389980E+008                  8.6513187949467216E+000                  8.8677236164937963E+000                 -3.3549364870826099E-005                  7.6785472054890000E+000                  7.9264987676387619E+000                  2.5220844335066566E+001                  2.5220844335066566E+001                  7.9264987676387619E+000                  7.6785472054890000E+000                  1.8029458074598379E+000                  4.9904376340038503E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556198998E-022                  3.8204556322864611E-002                  4.0072947425570732E-001                  1.4297086295104937E-008                  3.8382829251729578E-008                  3.5000000000000015E-014                  1.8549978142686241E-005                  1.1795234462390488E+003                                        1                                       14 
                                       5                                      918                  7.5800000000000011E-006                  1.5147648000000002E+001                 -6.3187587626244124E+000                  1.1154486247278130E+000                  3.3345955482729487E+001                 -7.9999999999999991E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999598055E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224807997716E-001                  8.7444825060622995E-008                  9.7933007934804273E-001                  9.7835361620659655E-001                 -2.5971520067692790E+001                 -2.6742025430822615E+001                 -1.4353028945558929E+001                 -1.4353028945557705E+001                 -2.5971825258027597E+001                 -2.9124886189566446E+001                 -2.6742025430822615E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278130E+000                  1.1154421505898455E+000                  1.0422561901036320E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4640633953620465E+011                  3.0197902411621282E+004                  4.4799767773049615E+000                 -1.5075862905298341E+000                 -2.1910935390103421E+000                  4.4805204549032569E+008                  8.6513284643473067E+000                  8.8677042776926367E+000                  5.0964660894920172E-005                  7.6785323479937171E+000                  7.9264990114882901E+000                  2.5220844645845901E+001                  2.5220844645845901E+001                  7.9264990114882901E+000                  7.6785323479937171E+000                  1.8029458074598383E+000                  4.9904376340038498E-001                  1.7984292495381055E+001                  0.0000000000000000E+000                  2.0427653556202574E-022                  3.8204556322864548E-002                  4.0072947425570704E-001                  2.1674318048446590E-008                  5.8188229447050187E-008                  5.3060000000000054E-014                  1.8549978149909270E-005                  8.9157833781697968E+002                                        4                                        6 
                                      10                                      913                  9.0101381655223091E-006                  8.4891923325200374E+000                 -6.5702375939455457E+000                  1.1154486247278272E+000                  3.3345955482729494E+001                 -7.9999999999999991E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999572342E-001                  9.9999999999545530E-001                  9.9999999999545530E-001                  9.0035224807996717E-001                  8.7444821274790378E-008                  9.7933007934803118E-001                  9.7835361620658501E-001                 -2.5970108772895365E+001                 -2.6742027471303917E+001                 -1.4353030181973567E+001                 -1.4353030181972342E+001                 -2.5970420620503095E+001                 -2.9114106581864306E+001                 -2.6742027471303917E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278272E+000                  1.1154421505898464E+000                  1.0422561901036334E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7657026075150009E+010                  3.5385040465545084E+004                  4.5488196965910683E+000                 -1.2322096464457646E+000                 -2.1910910555405221E+000                  4.4805460763873124E+008                  8.6513309478171276E+000                  8.8676993107530020E+000                 -1.1732290300796008E-005                  7.6785454914070819E+000                  7.9264990801614497E+000                  2.5220844762038009E+001                  2.5220844762038009E+001                  7.9264990801614497E+000                  7.6785454914070819E+000                  1.8029458074598386E+000                  4.9904376340038487E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556203683E-022                  3.8204556322864534E-002                  4.0072947425570699E-001                  2.5763629647883609E-008                  6.9166663561382158E-008                  6.3070967158656260E-014                  1.8549978153913056E-005                  9.5955914166448088E+002                                        4                                        5 
                                      15                                      914                  1.0854531249068072E-005                  9.3883675843805587E+000                 -6.5265138818187847E+000                  1.1154486247278459E+000                  3.3345955482729501E+001                 -7.9999999999999991E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999534106E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224807995329E-001                  8.7444819192116924E-008                  9.7933007934801519E-001                  9.7835361620656902E-001                 -2.5966370262396879E+001                 -2.6742027470885805E+001                 -1.4353030181724346E+001                 -1.4353030181723112E+001                 -2.5966688609252703E+001                 -2.9101413172519734E+001                 -2.6742027470885805E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278459E+000                  1.1154421505898466E+000                  1.0422561901036340E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4025432933603958E+010                  3.4694599433984957E+004                  4.5402618777143466E+000                 -1.2664400741907744E+000                 -2.1910906316595851E+000                  4.4805504495006591E+008                  8.6513313716980633E+000                  8.8676984629911360E+000                  3.4734956864078576E-005                  7.6785520042583464E+000                  7.9264990723245328E+000                  2.5220844762036350E+001                  2.5220844762036350E+001                  7.9264990723245328E+000                  7.6785520042583464E+000                  1.8029458074598383E+000                  4.9904376340038487E-001                  1.7984292495381055E+001                  0.0000000000000000E+000                  2.0427653556212368E-022                  3.8204556322864389E-002                  4.0072947425570671E-001                  3.1037439377620092E-008                  8.3325079040751465E-008                  7.5981718743476691E-014                  1.8549978159076620E-005                  5.7562204431486432E+004                                        4                                        5 
                                      20                                      918                  1.2684827472725747E-005                  1.6094741757810905E+001                 -6.2924199543181754E+000                  1.1154486247278639E+000                  3.3345955482729508E+001                 -7.9999999999999991E+000                  3.9016072542905483E-007                  1.7488965049829617E-007                  8.7444818345236615E-008                  1.0000000000000000E+000                  9.9999999999540601E-001                  9.0035224807994119E-001                  8.7444818345236615E-008                  9.7933007934800020E-001                  9.7835361620655403E-001                 -2.5963349154919410E+001                 -2.6742027470466848E+001                 -1.4353030181470086E+001                 -1.4353030181468842E+001                 -2.5963673720210053E+001                 -2.9089993664699925E+001                 -2.6742027470466848E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278639E+000                  1.1154421505898477E+000                  1.0422561901036362E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4313205999566095E+011                  3.0369031566629958E+004                  4.4824309429892359E+000                 -1.4977654291556488E+000                 -2.1910914396917982E+000                  4.4805421131623483E+008                  8.6513305636658497E+000                  8.8677000790555685E+000                 -1.4379104241077864E-005                  7.6785560788605771E+000                  7.9264990674298508E+000                  2.5220844762035824E+001                  2.5220844762035824E+001                  7.9264990674298508E+000                  7.6785560788605771E+000                  1.8029458077385359E+000                  4.9904376339902523E-001                  1.7984292522671627E+001                  0.0000000000000000E+000                  2.0427732882613268E-022                  3.8204554894600701E-002                  4.0072947130813669E-001                  3.6270924202800264E-008                  9.7375235636670385E-008                  8.8793792309080441E-014                  1.8549978164200701E-005                  1.3435798665389736E+005                                        4                                        6 
                                      25                                      920                  1.4185345174206160E-005                  8.6922553663589515E+000                 -6.5599714902821802E+000                  1.1154486247278790E+000                  3.3345955482729515E+001                 -7.9999999999999991E+000                  3.9016087665592595E-007                  1.7488964627104224E-007                  8.7444814117984675E-008                  1.0000000000000000E+000                  9.9999999999541966E-001                  9.0035224807992909E-001                  8.7444814117984675E-008                  9.7933007934798677E-001                  9.7835361620654060E-001                 -2.5960917213433028E+001                 -2.6742027470085883E+001                 -1.4353030181237951E+001                 -1.4353030181236702E+001                 -2.5961246420337865E+001                 -2.9081397182192166E+001                 -2.6742027470085883E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278790E+000                  1.1154421505898475E+000                  1.0422561901036362E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9137993832680176E+010                  3.5218187627970328E+004                  4.5467670028685108E+000                 -1.2404160925105752E+000                 -2.1910888911278126E+000                  4.4805684063395494E+008                  8.6513331122298354E+000                  8.8676949819276043E+000                 -1.2108751765927550E-005                  7.6785588886348464E+000                  7.9264990640482953E+000                  2.5220844762033543E+001                  2.5220844762033543E+001                  7.9264990640482953E+000                  7.6785588886348464E+000                  1.8029458077603573E+000                  4.9904376339891882E-001                  1.7984292524808374E+001                  0.0000000000000000E+000                  2.0427739093526977E-022                  3.8204554782773278E-002                  4.0072947107735346E-001                  4.0561439471918139E-008                  1.0889383431842166E-007                  9.9297416219443347E-014                  1.8549978168401527E-005                  6.8483399691393177E+004                                        4                                        5 
                                      30                                      920                  1.6073856477774052E-005                  9.6129390547636930E+000                 -6.5162477781554182E+000                  1.1154486247278979E+000                  3.3345955482729522E+001                 -7.9999999999999991E+000                  3.9016086009124275E-007                  1.7488964311028769E-007                  8.7444810957232594E-008                  1.0000000000000000E+000                  9.9999999999546596E-001                  9.0035224807991376E-001                  8.7444810957232594E-008                  9.7933007934796934E-001                  9.7835361620652328E-001                 -2.5957129568662076E+001                 -2.6742027469666297E+001                 -1.4353030180988272E+001                 -1.4353030180987014E+001                 -2.5957463452789980E+001                 -2.9071485037161764E+001                 -2.6742027469666297E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278979E+000                  1.1154421505898466E+000                  1.0422561901036353E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5672570828490021E+010                  3.4526482847803265E+004                  4.5381523397861967E+000                 -1.2748734850426919E+000                 -2.1910882612292428E+000                  4.4805749049385327E+008                  8.6513337421284060E+000                  8.8676937221304701E+000                  3.4903648944776369E-005                  7.6785602924567389E+000                  7.9264990623579106E+000                  2.5220844762031707E+001                  2.5220844762031707E+001                  7.9264990623579106E+000                  7.6785602924567389E+000                  1.8029458077603568E+000                  4.9904376339891887E-001                  1.7984292524808378E+001                  0.0000000000000000E+000                  2.0427739093534305E-022                  3.8204554782773147E-002                  4.0072947107735324E-001                  4.5961350927350752E-008                  1.2339079076088364E-007                  1.1251699534441867E-013                  1.8549978173688612E-005                  1.0919227642660889E+005                                        4                                        5 
                                      35                                      921                  1.7925996384519531E-005                  1.6286824565934211E+001                 -6.2872675487019674E+000                  1.1154486247279165E+000                  3.3345955482729529E+001                 -7.9999999999999991E+000                  3.9016087012431916E-007                  1.7488964056610872E-007                  8.7444808413056005E-008                  1.0000000000000000E+000                  9.9999999999548705E-001                  9.0035224807989933E-001                  8.7444808413056005E-008                  9.7933007934795313E-001                  9.7835361620650707E-001                 -2.5952736370360228E+001                 -2.6742027469238653E+001                 -1.4353030180733748E+001                 -1.4353030180732480E+001                 -2.5953073702067691E+001                 -2.9062632172021068E+001                 -2.6742027469238653E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247279165E+000                  1.1154421505898466E+000                  1.0422561901036362E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4382565315305624E+011                  3.0332222015088053E+004                  4.4819042261215527E+000                 -1.4998673404112670E+000                 -2.1910889615842422E+000                  4.4805676794483757E+008                  8.6513330417734071E+000                  8.8676951228404768E+000                 -1.3187155766752181E-005                  7.6785625385461422E+000                  7.9264990596547200E+000                  2.5220844762030609E+001                  2.5220844762030609E+001                  7.9264990596547200E+000                  7.6785625385461422E+000                  1.8029458077603566E+000                  4.9904376339891898E-001                  1.7984292524808378E+001                  0.0000000000000000E+000                  2.0427739093536733E-022                  3.8204554782773105E-002                  4.0072947107735324E-001                  5.1257246681778162E-008                  1.3760849983063392E-007                  1.2548197469163709E-013                  1.8549978178873860E-005                  2.7589248245907639E+005                                        4                                        6 
                                      40                                      928                  1.9447701380911278E-005                  8.8524414771428290E+000                 -6.5520409027353326E+000                  1.1154486247279316E+000                  3.3345955482729536E+001                 -7.9999999999999991E+000                  7.8032178070920871E-007                  3.4977932624259208E-007                  8.7444803360122357E-008                  1.0000000000000000E+000                  9.9999999999549805E-001                  9.0035224807988701E-001                  8.7444803360122357E-008                  9.7933007934793870E-001                  9.7835361620649264E-001                 -2.5949525355013186E+001                 -2.6742027468863366E+001                 -1.4353030180505161E+001                 -1.4353030180503886E+001                 -2.5949865411902110E+001                 -2.9055928106387778E+001                 -2.6742027468863366E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247279316E+000                  1.1154421505898453E+000                  1.0422561901036358E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0306034972448380E+010                  3.5089269763353434E+004                  4.5451743302830598E+000                 -1.2467817539545827E+000                 -2.1910863766789141E+000                  4.4805943477073956E+008                  8.6513356266787351E+000                  8.8676899530298261E+000                 -1.1131316123759527E-005                  7.6785646080335308E+000                  7.9264990571666720E+000                  2.5220844762028538E+001                  2.5220844762028538E+001                  7.9264990571666720E+000                  7.6785646080335308E+000                  1.8029458078764105E+000                  4.9904376339835260E-001                  1.7984292536172507E+001                  0.0000000000000000E+000                  2.0427772125615489E-022                  3.8204554188026714E-002                  4.0072946984994912E-001                  5.5608304276084594E-008                  1.4928963440921022E-007                  1.3613390966637938E-013                  1.8549978183134015E-005                  9.8071510892279257E+004                                        4                                        5 
